0,1,80,0
1,2,124,80
2,3,160,204
3,4,208,364
4,5,268,572
5,6,340,840
6,7,424,1180
7,8,520,1604
8,9,628,2124
9,10,748,2752
10,11,880,3500
11,12,1024,4380
12,13,1180,5404
13,14,1348,6584
14,15,1528,7932
15,16,1720,9460
16,17,1924,11180
17,18,2140,13104
18,19,2368,15244
19,20,2608,17612
20,21,2860,20220
21,22,3124,23080
22,23,3400,26204
23,24,3688,29604
24,25,3988,33292
25,26,4300,37280
26,27,4624,41580
27,28,4960,46204
28,29,5308,51164
29,30,5668,56472
30,31,6040,62140
31,32,6424,68180
32,33,6820,74604
33,34,7228,81424
34,35,7648,88652
35,36,8080,96300
36,37,8524,104380
37,38,8980,112904
38,39,9448,121884
39,40,9928,131332
40,41,10420,141260
41,42,10924,151680
42,43,11440,162604
43,44,11968,174044
44,45,12508,186012
45,46,13060,198520
46,47,13624,211580
47,48,14200,225204
48,49,14788,239404
49,50,15388,254192
50,51,16000,269580
51,52,16624,285580
52,53,17260,302204
53,54,17908,319464
54,55,18568,337372
55,56,19240,355940
56,57,19924,375180
57,58,20620,395104
58,59,21328,415724
59,60,22048,437052
60,61,22780,459100
61,62,23524,481880
62,63,24280,505404
63,64,25048,529684
64,65,25828,554732
65,66,26620,580560
66,67,27424,607180
67,68,28240,634604
68,69,29068,662844
69,70,29908,691912
70,71,30760,721820
71,72,31624,752580
72,73,32500,784204
73,74,33388,816704
74,75,34288,850092
75,76,35200,884380
76,77,36124,919580
77,78,37060,955704
78,79,38008,992764
79,80,38968,1030772
80,81,39940,1069740
81,82,40924,1109680
82,83,41920,1150604
83,84,42928,1192524
84,85,43948,1235452
85,86,44980,1279400
86,87,46024,1324380
87,88,47080,1370404
88,89,48148,1417484
89,90,49228,1465632
90,91,50320,1514860
91,92,51424,1565180
92,93,52540,1616604
93,94,53668,1669144
94,95,54808,1722812
95,96,55960,1777620
96,97,57124,1833580
97,98,58300,1890704
98,99,59488,1949004
